condition,window,abs_position,norm,critic_mse,critic_cos
C1_benign_cats,early,33,125.94154357910156,0.17803704738616943,0.9109816551208496
C1_benign_cats,early,34,129.67002868652344,0.10782015323638916,0.946090042591095
C1_benign_cats,early,35,144.34556579589844,0.05485912784934044,0.9725706577301025
C1_benign_cats,early,36,133.3429412841797,0.056762248277664185,0.9716188311576843
C1_benign_cats,early,37,136.74159240722656,0.08143221586942673,0.9592840671539307
C1_benign_cats,early,38,134.96951293945312,0.09142012894153595,0.954289972782135
C1_benign_cats,early,39,129.83721923828125,0.09531928598880768,0.9523407220840454
C1_benign_cats,early,40,132.02781677246094,0.09968968480825424,0.9501552581787109
C1_benign_cats,early,41,140.17803955078125,0.10905016213655472,0.9454751014709473
C1_benign_cats,early,42,148.34902954101562,0.09126555919647217,0.9543671011924744
C1_benign_cats,early,43,145.8520050048828,0.08759437501430511,0.9562026858329773
C1_benign_cats,early,44,138.72323608398438,0.10337617248296738,0.9483118653297424
C1_benign_cats,early,45,140.7980499267578,0.09936635941267014,0.9503170251846313
C1_benign_cats,early,46,130.55496215820312,0.08364017307758331,0.9581800103187561
C1_benign_cats,early,47,102.80748748779297,0.22136178612709045,0.8893193006515503
C1_benign_cats,early,48,124.8138427734375,0.1333431452512741,0.9333285689353943
C1_benign_cats,mid,115,129.72866821289062,0.1395816206932068,0.9302093386650085
C1_benign_cats,mid,116,130.45510864257812,0.11451160162687302,0.9427441954612732
C1_benign_cats,mid,117,130.5276336669922,0.06474488228559494,0.9676275253295898
C1_benign_cats,mid,118,137.36073303222656,0.08126888424158096,0.959365725517273
C1_benign_cats,mid,119,127.0596694946289,0.16092947125434875,0.9195355176925659
C1_benign_cats,mid,120,130.21243286132812,0.07310215383768082,0.9634489417076111
C1_benign_cats,mid,121,129.10569763183594,0.1321393996477127,0.9339302778244019
C1_benign_cats,mid,122,121.54003143310547,0.16382625699043274,0.9180870056152344
C1_benign_cats,mid,123,125.97077941894531,0.09975005686283112,0.9501250386238098
