plan,variant,position,norm,critic_mse,critic_cos
plan_a,A1_conversational,0,115.79698944091797,0.19111548364162445,0.9044421911239624
plan_a,A1_conversational,1,111.39361572265625,0.16126516461372375,0.9193677306175232
plan_a,A1_conversational,2,122.16264343261719,0.24560627341270447,0.8771972060203552
plan_a,A1_conversational,3,125.37894439697266,0.2904953360557556,0.8547524809837341
plan_a,A1_conversational,4,123.0077133178711,0.22935417294502258,0.8853229880332947
plan_a,A1_conversational,5,112.62176513671875,0.2077050656080246,0.8961477279663086
plan_a,A1_conversational,6,114.64434051513672,0.22468231618404388,0.8876591324806213
plan_a,A1_conversational,7,109.83261108398438,0.34061399102211,0.8296931385993958
plan_a,A1_conversational,8,119.84374237060547,0.3377705514431,0.8311147689819336
plan_a,A1_conversational,9,121.09251403808594,0.3099900186061859,0.8450051546096802
plan_a,A1_conversational,10,96.30199432373047,0.34249064326286316,0.8287547826766968
plan_a,A1_conversational,11,124.32095336914062,0.29976576566696167,0.8501172661781311
plan_a,A1_conversational,12,119.40123748779297,0.23588965833187103,0.882055401802063
plan_a,A1_conversational,13,118.72381591796875,0.26732465624809265,0.8663378953933716
plan_a,A1_conversational,14,120.65851593017578,0.20565292239189148,0.8971735239028931
plan_a,A1_conversational,15,118.23113250732422,0.21835140883922577,0.8908244967460632
plan_a,A2_math,0,128.89979553222656,0.10121588408946991,0.9493920803070068
plan_a,A2_math,1,127.28424835205078,0.09952454268932343,0.9502379298210144
plan_a,A2_math,2,115.89068603515625,0.16031576693058014,0.9198423624038696
plan_a,A2_math,3,117.95657348632812,0.15059897303581238,0.9247008562088013
plan_a,A2_math,4,134.3446044921875,0.121031753718853,0.9394842386245728
plan_a,A2_math,5,132.04519653320312,0.11672158539295197,0.9416394233703613
plan_a,A2_math,6,119.37052154541016,0.21074283123016357,0.8946288824081421
plan_a,A2_math,7,135.39761352539062,0.1006004735827446,0.9496997594833374
plan_a,A2_math,8,112.21406555175781,0.1635408103466034,0.9182298183441162
plan_a,A2_math,9,128.02090454101562,0.10891763120889664,0.9455413222312927
plan_a,A2_math,10,127.39836883544922,0.13307085633277893,0.933464765548706
plan_a,A2_math,11,117.68099212646484,0.13885237276554108,0.9305739998817444
plan_a,A2_math,12,126.29058074951172,0.16641387343406677,0.9167930483818054
plan_a,A2_math,13,132.19993591308594,0.17882084846496582,0.9105896949768066
plan_a,A2_math,14,132.2089080810547,0.12908349931240082,0.935458242893219
plan_a,A2_math,15,124.41500854492188,0.10500406473875046,0.9474979639053345
plan_a,A3_translation,0,106.79866790771484,0.2229773998260498,0.8885114789009094
plan_a,A3_translation,1,124.16638946533203,0.20554468035697937,0.8972277045249939
plan_a,A3_translation,2,108.71803283691406,0.3644837737083435,0.8177584409713745
plan_a,A3_translation,3,121.3960952758789,0.28338900208473206,0.8583056926727295
plan_a,A3_translation,4,104.04763793945312,0.19214658439159393,0.9039268493652344
plan_a,A3_translation,5,111.28726196289062,0.2358555793762207,0.8820723295211792
plan_a,A3_translation,6,116.59113311767578,0.16815827786922455,0.9159207344055176
plan_a,A3_translation,7,133.1836700439453,0.20631329715251923,0.8968435525894165
plan_a,A3_translation,8,109.83040618896484,0.21134230494499207,0.8943289518356323
plan_a,A3_translation,9,124.51261901855469,0.2722955644130707,0.8638522624969482
plan_a,A3_translation,10,106.77589416503906,0.22919344902038574,0.8854034543037415
plan_a,A3_translation,11,104.91397094726562,0.2830849587917328,0.8584576845169067
plan_a,A3_translation,12,119.61688995361328,0.2291547954082489,0.8854228258132935
plan_a,A3_translation,13,107.3496322631836,0.3349027633666992,0.8325487971305847
plan_a,A3_translation,14,105.48186492919922,0.25858747959136963,0.8707063794136047
plan_a,A3_translation,15,99.54930114746094,0.4909723103046417,0.7545140385627747
plan_a,A4_code,0,127.78453826904297,0.31375613808631897,0.843122124671936
plan_a,A4_code,1,131.84812927246094,0.16458536684513092,0.9177072048187256
plan_a,A4_code,2,125.57864379882812,0.1743323653936386,0.9128338694572449
plan_a,A4_code,3,125.83763885498047,0.18110911548137665,0.9094454050064087
plan_a,A4_code,4,127.817138671875,0.13044455647468567,0.9347777962684631
plan_a,A4_code,5,128.1960906982422,0.12668947875499725,0.9366552233695984
plan_a,A4_code,6,129.00244140625,0.11218695342540741,0.9439065456390381
plan_a,A4_code,7,136.67864990234375,0.11443886905908585,0.9427805542945862
plan_a,A4_code,8,131.36758422851562,0.1053863987326622,0.9473066926002502
plan_a,A4_code,9,139.48370361328125,0.11944588273763657,0.940277099609375
plan_a,A4_code,10,127.09861755371094,0.1773376762866974,0.9113311767578125
plan_a,A4_code,11,126.07357025146484,0.14783647656440735,0.9260820746421814
plan_a,A4_code,12,125.82524871826172,0.13727210462093353,0.9313639402389526
plan_a,A4_code,13,121.32817077636719,0.12848153710365295,0.9357591271400452
plan_a,A4_code,14,122.21085357666016,0.09571429342031479,0.9521427154541016
plan_a,A4_code,15,128.7465057373047,0.1945391744375229,0.9027306437492371
plan_a,A5_creative_writing,0,120.87743377685547,0.12017720937728882,0.939911425113678
plan_a,A5_creative_writing,1,124.894287109375,0.10602766275405884,0.9469857811927795
plan_a,A5_creative_writing,2,129.73660278320312,0.1272306740283966,0.9363848567008972
plan_a,A5_creative_writing,3,108.03763580322266,0.17026831209659576,0.9148657917976379
plan_a,A5_creative_writing,4,125.38267517089844,0.1834416389465332,0.9082794189453125
plan_a,A5_creative_writing,5,118.6467514038086,0.14624443650245667,0.9268777966499329
plan_a,A5_creative_writing,6,130.7391357421875,0.16458295285701752,0.9177086353302002
plan_a,A5_creative_writing,7,115.01690673828125,0.15327826142311096,0.9233610033988953
plan_a,A5_creative_writing,8,128.56005859375,0.10892456024885178,0.9455377459526062
plan_a,A5_creative_writing,9,114.50930786132812,0.0843329206109047,0.9578336477279663
plan_a,A5_creative_writing,10,126.39379119873047,0.12686637043952942,0.9365668296813965
plan_a,A5_creative_writing,11,114.08527374267578,0.11028814315795898,0.9448560476303101
plan_a,A5_creative_writing,12,128.30055236816406,0.19231028854846954,0.9038448333740234
plan_a,A5_creative_writing,13,126.5490951538086,0.15618851780891418,0.9219059944152832
plan_a,A5_creative_writing,14,122.74466705322266,0.20013274252414703,0.8999338150024414
plan_a,A5_creative_writing,15,115.75004577636719,0.11282286792993546,0.9435886740684509
plan_b,B1_no_system,0,121.74047088623047,0.3673537075519562,0.8163233995437622
plan_b,B1_no_system,1,125.95809173583984,0.34806591272354126,0.8259671926498413
plan_b,B1_no_system,2,110.80106353759766,0.3293440341949463,0.8353279829025269
plan_b,B1_no_system,3,107.92611694335938,0.4690839946269989,0.7654581665992737
plan_b,B1_no_system,4,110.16000366210938,0.4183342158794403,0.7908329963684082
plan_b,B1_no_system,5,109.4011459350586,0.4558020234107971,0.772099494934082
plan_b,B1_no_system,6,97.4002685546875,0.40520909428596497,0.7973955273628235
